Health Center Name,Site Address,Site Web Address,Site Telephone Number,Organization Email Address,,Site City,Site State,Site Zip Code,Latitude,Longitude
CARECONNECT HEALTH INC,206 E Lamar St,,229-273-8881,,,Americus,GA,31709-3657,-84.2284925,32.07192062
"Redwoods Rural Health Center, Incorporated",101 W Coast Rd,www.rrhc.org,707-923-2783,,,Redway,CA,95560,-123.8133253,40.11707853
"BEAUFORT-JASPER-HAMPTON COMPREHENSIVE HEALTH SERVICES, INCORPORATED",1025 Sea Island Pkwy,www.bjhchs.org,843-838-0300,,,St Helena Is,SC,29920-4301,-80.56371941,32.4003103
"IBERIA COMPRHESIVE COM HEALTH CNTR, INC.",806 Jefferson Ter,,337-365-4945,accounting@icchc.org,,New Iberia,LA,70560-5727,-91.81013623,29.98783805
KING COUNTY,8815 Seward Park Ave S,,206-296-4639,,,Seattle,WA,98118-4743,-122.2646299,47.52388523
"Hopewell Health Centers, Inc.",502 Mccarty Ln,www.hopewellhealth.org,740-286-5245 x0000,,,Jackson,OH,45640-7020,-82.61994191,39.03275065
"BOUNDARY REGIONAL COMMUNITY HEALTH CENTER, INC.",255 Hope School Rd,,208-255-7232,,,Hope,ID,83836-9829,-116.2647759,48.21681034
San Diego Family Care,"4305 University Ave, Ste 150",sdfamilycare.org,619-280-2058,,,San Diego,CA,92105-1690,-117.101441,32.74958253
"Christ Health Center, Inc.",5705 1st Ave N,,205-380-9455,,,Birmingham,AL,35212-1603,-86.74904561,33.54156852
"Community Care of West Virginia, Inc.",1 Mountaineer Dr,www.ccwv.org,304-622-0440,heather.powell@ccwv.org,,Clarksburg,WV,26301-5511,-80.39771498,39.27684252
MEDLINK GEORGIA INC,613 Hospital Rd,,706-608-5124,,,Commerce,GA,30529-1143,-83.46921838,34.21634035
"UNITY HEALTH CARE, INC.",3240 Stanton Rd SE,www.unityhealthcare.org,202-889-3754,,,Washington,DC,20020-2910,-76.98064733,38.84927535
"Low Country Health Care System, Inc.",130 Baker St N,,803-284-1045,,,Blackville,SC,29817-2426,-81.26640386,33.35578787
"MIDTOWN HEALTH CENTER, INC.",1200,,402-375-3800,ckkube@midtownhealthne.org,,Wayne,NE,68787,-97.01855009,42.2355434
Children's Hospital & Research Center At Oakland,770 53rd St STE 100,,510-428-3783,,,Oakland,CA,94609-1814,-122.2688777,37.83808842
"WomenCare, Inc.",12 Kanawha Ter,www.familycarewv.org,304-201-1130,,,Saint Albans,WV,25177-2750,-81.83864954,38.38508023
Communicare Health Centers,2051 John Jones Rd,www.communicarehc.org,530-758-2060,,,Davis,CA,95616-9701,-121.7692433,38.56363983
St Charles Health Council Inc,20471 Azen Rd,N/A,276-388-3431,,,Damascus,VA,24236-4141,-81.63588401,36.66494254
"Axesspointe Community Health Center, Inc.",1400 S Arlington St UNIT 38,www.axesspointe.org,330-724-5471,,,Akron,OH,44306-3771,-81.49141747,41.03391901
"Dr. Arenia C. Mallory Community Health Center, Inc.",33795 Hunter Blvd,www.mallorychc.org,662-653-0505,,,Durant,MS,39063-3568,-89.852098,33.08527201
Southern Indiana Community Health Care Inc,420 W Longest St,www.sichc.org,812-723-3944,,,Paoli,IN,47454-8821,-86.47372348,38.56720323
Mantachie Rural Health Care Inc,5510 Highway 363,www.mantachieclinic.org,662-282-4335,mckinney.mrhc@yahoo.com,,Mantachie,MS,38855-7197,-88.48864843,34.32189314
"ALBANY AREA PRIMARY HEALTH CARE, INC",14540 US Highway 19 S STE 1,www.aaphc.org,229-225-3996,heather.dutton@aaphc.org,,Thomasville,GA,31757-4811,-83.94485451,30.84790924
Care For The Homeless,1122 Franklin Ave,www.hud.gov/local/ny/homeless/womenshelters.cfm,718-842-9797,,,Bronx,NY,10456-5305,-73.90574472,40.82818377
SHASTA COMMUNITY HEALTH CENTER,1615 Continental St,www.shastahealth.org,530-246-5710,,,Redding,CA,96001-1163,-122.38505,40.58435312
"Damian Family Care Centers, Inc.",13020 89th Rd,damianhealth.org,718-441-8913,pgrisafi@damianfcc.org,,Richmond Hill,NY,11418-3301,-73.82033338,40.69963882
"Sun River Health, Inc.",347 W 37th St FL 1,,855-681-8700,,,New York,NY,10018-4202,-73.99403818,40.75503695
NEIGHBORHOOD HEALTH CENTERS OF LEHIGH VALLEY,1210 E 4th St,,610-849-9157,tclaudio@nhclv.com,,Bethlehem,PA,18015-2016,-75.359918,40.6111861
"Variety Care, Inc.",201 W 1st St,www.varietycare.org,405-632-6688,ahorn@varietycare.org,,Grandfield,OK,73546-9236,-98.68475921,34.23180274
CHEROKEE HEALTH SYSTEMS,3150 Wearwood Dr,,865-453-2252,,,Sevierville,TN,37862-8332,-83.64450234,35.72464606
"Community Health Centers, Inc.",212 E Main St,,407-905-8827,,,Tavares,FL,32778-3808,-81.72663622,28.80216676
Peninsula Community Health Services,2150 Fircrest Dr SE RM G-1,www.pchsweb.org,360-377-3776,kjennings@pchsweb.org,,Port Orchard,WA,98366-2640,-122.5989412,47.5294522
FAMILY HEALTH SERVICES OF ERIE COUNTY,5906 Bogart Rd W Rm 28,,419-502-2800,,,Castalia,OH,44824-9714,-82.7869007,41.3982725
Central Neighborhood Health Foundation,2707 S Central Ave,,323-234-5000,,,Los Angeles,CA,90011-5527,-118.255525,34.01754946
"SISKIYOU COMMUNITY HEALTH CENTER, INC.",625 E River St,www.siskiyouhealthcenter.com,541-592-3749,,,Cave Junction,OR,97523-9382,-123.6333663,42.16851324
"COMMUNITY HEALTH CENTERS OF BURLINGTON, INC.",87 Main St,www.chcb.org,802-864-6309,,,Essex Junction,VT,05452-3234,-73.1034147,44.49518338
Primary Health Network,29 Saltsburg Rd,www.primary-health.net,724-726-0300,,,Clarksburg,PA,15725-7400,-79.29912248,40.53974886
"Community Care of West Virginia, Inc.",168 Church St,www.primcaresys.org,304-587-6045,heather.powell@ccwv.org,,Clay,WV,25043-9420,-81.0840988,38.46091106
"COMMUNITY HEALTH PROGRAMS, INCORPORATED",510 North St STE 2,https://www.chpberkshires.org/,413-447-2781,,,Pittsfield,MA,01201-4111,-73.25108682,42.45551807
Mountain Park Health Center,140 N Litchfield Rd STE 200,www.mountainparkhealth.org,602-323-3344,,,Goodyear,AZ,85338-1226,-112.3583043,33.44808583
Berks Community Health Center,645 Penn St,www.berkschc.net,484-772-4091,,,Reading,PA,19601-3543,-75.92452551,40.33529957
"Shenandoah Valley Medical System, Incorporated",99 Tavern Rd,www.shencommhealth.com,304-263-4999,,,Martinsburg,WV,25401-2890,-77.96636802,39.47394201
INFINITY HEALTH,701 Washington Ave E,http://chcsi.org/,641-446-2383,,,Albia,IA,52531-2140,-92.800427,41.02622748
YAKIMA NEIGHBORHOOD HEALTH SERVICES,617 Scoon Rd,www.ynhs.org,509-837-8200,,,Sunnyside,WA,98944-1031,-120.0200775,46.33332
"Migrant Health Center Western Region, Inc.",392 Calle Dr Ramon E Betances S,www.mhcnon-profit.com,787-833-1880,mhc@migrantspr.com,,Mayaguez,PR,00680-1700,-67.14327603,18.18474299
UNION COMMUNITY HEALTH CENTER,2016 Bronxdale Ave,www.uchcbronx.org,929-375-3400,,,Bronx,NY,10462-3388,-73.8656519,40.85060892
Anthony L. Jordan Health Corporation,480 Genesee St,none,585-436-3040,,,Rochester,NY,14611-3634,-77.63576514,43.14068439
"OUTREACH COMMUNITY HEALTH CENTERS, INC.",210 W Capitol Dr,www.ochc-milw.org,414-727-6320,,,Milwaukee,WI,53212-1123,-87.91223962,43.08960042
Waikiki Health,1903 Palolo Ave,https://waikikihc.org/,808-922-4787,,,Honolulu,HI,96816-2928,-157.797986,21.2978861
"Shalom Health Care Center, Inc.",8620 Montery Rd,,317-226-4105,,,Indianapolis,IN,46226-5470,-86.01626326,39.83042641
"Metropolitan Charities, Inc.",18167 Us Highway 19 N STE 150,,727-220-0550,LorraineL@metrotampabay.org,,Clearwater,FL,33764-6566,-82.73008423,27.93755316
"Northeast Florida Health Services, Inc.",2160 Howland Blvd,www.myfhs.org,386-202-6025,,,Deltona,FL,32738-3467,-81.18812643,28.92336757
Pancare of Florida Inc,2309 E 15th St,http://pancarefl.org/,850-247-9834,mhill@pancarefl.org,,Panama City,FL,32405-6345,-85.63291524,30.17496018
"Community Health Care, Inc.",1701 River Dr STE 110,,563-336-3000,,,Moline,IL,61265-1384,-90.51452585,41.50929387
Community Health Improvement Center,420 E Central Ave,www.crossinghealthcare.org,217-877-9117,ltanner@crossinghealthcare.org,,Decatur,IL,62521-1050,-88.95129889,39.84917438
"Franklin Primary Health Center, Inc.",201 Dolive St,,251-706-8700,,,Bay Minette,AL,36507-3226,-87.77618515,30.88209521
WEST OAKLAND HEALTH COUNCIL INC,10615 International Blvd,wohc@wohc.org,510-568-9230,,,Oakland,CA,94603-3805,-122.1661871,37.73844218
"Gaston Family Health Services, Inc.",609 N Highland St,www.kintegra.org,704-772-4700,,,Gastonia,NC,28052-2179,-81.19403258,35.2712641
"Citrus Health Network, Inc.",5901 SW 16th St,,305-266-2511,,,Miami,FL,33155-2106,-80.29267297,25.75616164
CROSS TRAILS MEDICAL CENTER,1314 Brenda Ave,,573-517-0405,cwarren@crosstrails.us,,Perryville,MO,63775-2303,-89.88554213,37.71985489
Maniilaq Association,5th Ave,www.maniilaq.org,907-442-7331,phansen@maniilaq.org,,Kotzebue,AK,99752,-162.5902553,66.89573005
TRAVIS COUNTY HEALTHCARE DISTRICT,301 Highway 71 W STE 111,,512-978-9015,,,Bastrop,TX,78602-4111,-97.32977211,30.10570911
GREATER PHILADELPHIA HEALTH ACTION INC,1999 W Hunting Park Ave,WWW.GPHAINC.ORG,215-228-9300,,,Philadelphia,PA,19140-2828,-75.16089633,40.01269072
GOLDEN VALLEY HEALTH CENTERS INC,1717 Las Vegas St,,209-383-1848,,,Modesto,CA,95358-5500,-121.0027496,37.60528182
"Health, Tennessee Dept Of",254 Tiger Dr,n/a,615-597-7599,constance.eneh@tn.gov,,Smithville,TN,37166-6812,-85.85542764,35.96980482
"Community Health Care Center, Incorporated",321 Central Ave W RM 138,www.alluvionhealth.org,406-454-6973,,,Cascade,MT,59421-7205,-111.7044351,47.27137789
"TCA HEALTH, INC. NFP",1029 E 130th St,none,773-995-6300,,,Chicago,IL,60628-6908,-87.60259543,41.65905187
APLA HEALTH & WELLNESS,3643 S La Brea Ave,,213-201-1600,,,Los Angeles,CA,90016-5311,-118.3556275,34.02022
"HopeHealth, Inc.",360 N Irby St,,843-667-9414,,,Florence,SC,29501-2808,-79.76851803,34.20216899
"Greater Lawrence Family Health Center, Inc.",38 Lawrence St,www.glfhc.org,978-725-7400,wbarr@glfhc.org,,Lawrence,MA,01840-1409,-71.16254294,42.70875461
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",333 H St STE 2080,,619-662-4100,,,Chula Vista,CA,91910-5558,-117.0783925,32.63410295
Meridian Health Services Corp.,1601 E 26th St # 6,,765-288-1928,,,Muncie,IN,47302-5808,-85.36929634,40.16378446
SOUTH CENTRAL FAMILY HEALTH CENTER,4411 S Central Ave,,323-908-4200,,,Los Angeles,CA,90011-3629,-118.2565175,34.003524
HUDSON HEADWATERS HEALTH NETWORK,9 Carey Rd,,518-761-0300,,,Queensbury,NY,12804-7880,-73.69022135,43.29577432
Konza Prairie Community Health Center Inc,2030 Tecumseh Rd STE 100,www.kpchc.org,785-320-7291,,,Manhattan,KS,66502-3512,-96.59299519,39.19156462
ADULT & CHILD MENTAL HEALTH CENTER INC,8320 Madison Ave,,317-882-5122,danjarens@gmail.com,,Indianapolis,IN,46227-6066,-86.1203297,39.64509331
United Medical Centers,1117 W De La Rosa St,www.umchealth.com,830-768-4800,,,Del Rio,TX,78840-6224,-100.8841856,29.36471358
"Peninsula Institute For Community Health, Inc",104 N Witchduck Rd,,757-591-0643,nhilton@pich.org,,Virginia Beach,VA,23462-6506,-76.15825321,36.84166361
Access Community Health Network,7450 W 63rd St,www.accesscommunityhealth.net,708-458-0757,,,Summit Argo,IL,60501-1816,-87.80784972,41.77717342
Thundermist Health Center,240 Florence Dr,www.thundermisthealth.org,401-225-5425,,,Woonsocket,RI,02895-3481,-71.50142714,42.00546532
"OPTIMUS HEALTH CARE, INC.",495 Waterview Ave,,203-275-2400,amcgoldrick@opthc.org,,Bridgeport,CT,06608-2554,-73.17383051,41.18351676
First Choice Community Health Centers,84 Medical Dr,www.firstchoicechc.org,919-639-2122,,,Angier,NC,27501-6087,-78.74309209,35.51400997
"HealthPoint Family Care, Inc.",2500 Madison Ave,www.healthpointfc.org,859-655-6100,,,Covington,KY,41014-1658,-84.50140601,39.061955
FAMILY HEALTH CENTERS OF SAN DIEGO INC,740 10th St,,619-515-2300,,,Imperial Beach,CA,91932-2216,-117.1118419,32.5830347
Talbert House Health Center,231 N Breiel Blvd,,513-318-1188,judith.mount@centerpointhealth.org,,Middletown,OH,45042-3807,-84.35417335,39.51545787
"Bakersville Community Medical Clinic, Incorporated",80 Hemlock Dr,www.mchp.care,828-688-2104,,,Bakersville,NC,28705-9424,-82.15637539,36.01505503
"Utah Navajo Health System, Inc.",UT-262,www.unhsinc.com,435-651-3894,aevans@unhsinc.org,,Montezuma Creek,UT,84534,-109.29158,37.28493796
"Community Health Center, Incorporated",38 Main St,,860-623-4488,mark@chc1.com,,Broad Brook,CT,06016-9602,-72.54927501,41.92114899
PCC COMMUNITY WELLNESS CENTER,3 Erie Ct STE 1300,,708-406-3929,deleted@deleted.com,,Oak Park,IL,60302-2519,-87.77625958,41.89153895
SUNRISE COMMUNITY HEALTH,1010 A St,sunrisecommunityhealth.org,970-313-0400,,,Greeley,CO,80631-2021,-104.6962351,40.43506761
"ALBANY AREA PRIMARY HEALTH CARE, INC",1700 Cordell Ave,www.aaphc.org,229-888-6559,heather.dutton@aaphc.org,,Albany,GA,31705-1497,-84.10953724,31.59238255
"St. John's Well Child And Family Center, Inc.",3628 E Imperial Hwy STE 301,,323-541-1411,,,Lynwood,CA,90262-2646,-118.2044194,33.93072922
Primary Health Network,210 Sunbury St,http://www.primary-health.net,570-544-9123,,,Minersville,PA,17954-1346,-76.26101945,40.69110415
"SOUTHERN JERSEY FAMILY MEDICAL CENTERS, INC.",1 Executive Dr,www.sjfmc.org,609-481-3116,,,Marlton,NJ,8053,-74.9236204,39.87011934
"URBAN HEALTH PLAN, INC.",730 Bryant Ave,WWW.URBANHEALTHPLAN.ORG,718-378-3250,paloma.hernandez@urbanhealthplan.org,,Bronx,NY,10474-6006,-73.8855637,40.81546478
"Wheeler Clinic, Inc.",718 Pine St,www.wheelerclinic.org,860-793-3884,,,Bristol,CT,06010-6923,-72.89582396,41.66696899
"Hopewell Health Centers, Inc.",31891 State Route 93,http://www.hopewellhealth.org,740-596-5249,,,Mc Arthur,OH,45651-9006,-82.4765936,39.26188087
NEIGHBORHOOD HEALTHCARE,426 N Date St,www.nhcare.org,760-690-5900,rakeshp@nhcare.org,,Escondido,CA,92025-3409,-117.0714961,33.12909364
Mainline Health Systems Inc,342 Highway 425 S,www.mainlinehealth.net,870-538-5414,,,Monticello,AR,71655-4612,-91.80319593,33.62138419
"Community Health Care, Inc.",1934 W 5th St,https://www.chcqca.org/schoolhealth,563-336-3000,,,Davenport,IA,52802-1005,-90.6065915,41.52453053
Omni Family Health,161 N Mill St,www.OmniFamilyHealth.org,866-707-6664,,,Tehachapi,CA,93561-1347,-118.4520143,35.13408269
Great Mines Health Center,512 State St RM 101,,573-438-9355,,,Mineral Point,MO,63660-8208,-90.72655472,37.94453021
CARE NET OF LANCASTER,,www.plexushealth.com,803-475-2083,,,Kershaw,SC,29067,-80.58406499,34.55176
Mainline Health Systems Inc,250 University Dr,,870-367-6246,,,Monticello,AR,71655-8891,-91.80764974,33.59118072
NORTHERN OSWEGO COUNTY HEALTH SERVICES I,640 County Route 22,www.nochsi.org,315-625-5210,,,Parish,NY,13131-3339,-76.05056067,43.44306695
"Citrus Health Network, Inc.",6425 Miami Lakeway N,unkn,305-557-3900,,,Miami Lakes,FL,33014-6643,-80.30725404,25.91792336
"NORTHWEST HUMAN SERVICES, INC.",694 Church St NE,www.northwesthumanservices.org,503-588-5827,,,Salem,OR,97301-2401,-123.0320047,44.94557297
CHOTA COMMUNITY HEALTH SERVICES,3128 Highway 411,N/A,423-442-9230,lharris@chotahealth.org,,Madisonville,TN,37354-6352,-84.320417,35.54910801
"Central Virginia Health Services, Inc.",25892 N James Madison Hwy,www.cvhsinc.org,434-581-3271,paulatomko@cvhsinc.org,,New Canton,VA,23123-2234,-78.36080999,37.63704852
"Cumberland Family Medical Center, Inc.",313 Morningside Dr,www.cumberlandfamilymedical.com,270-769-3359,tantle@cfmcky.com,,Elizabethtown,KY,42701-1739,-85.86155479,37.70346923
"Marana Health Center, Inc.",13395 N Marana Main St,,520-682-4111,,,Marana,AZ,85653-7008,-111.2124606,32.44949283
"Cross Timbers Health Clinics, Inc.",135 River North Blvd,http://www.crosstimbersinc.org/,254-893-5895,,,Stephenville,TX,76401-1804,-98.23187528,32.22761744
CHOPTANK COMMUNITY HEALTH SYSTEM,126 Philosophers Ter,,410-479-4306,,,Chestertown,MD,21620-1715,-76.06440976,39.21297653
Los Angeles Christian Health Centers,1619 E 4th St,,213-893-1960,,,Los Angeles,CA,90033-4201,-118.2221185,34.04297297
CENTRO DE SALUD FAMILIAR LA FE INC,721 S Ochoa St,www.lafe-ep.org,915-545-7090,,,El Paso,TX,79901-2935,-106.4800444,31.75368377
PETALUMA HEALTH CENTER INC,1225 N Mcdowell Blvd,www.phealthcenter.org,707-559-7500,,,Petaluma,CA,94954-1112,-122.6614808,38.27033039
International Community Health Services,16549 Aurora Ave N,www.ichs.com,206-533-2600,doquyenh@ichs.com,,Shoreline,WA,98133-5308,-122.3456745,47.75021971
PROJECT VIDA HEALTH CENTER,10150 Alameda Ave,,915-533-7057,,,Socorro,TX,79927-1600,-106.290488,31.65823501
Mid-Delta Health Systems Inc,1940 S Whitehead Dr,www.mid-delta.org,870-946-4505,,,Dewitt,AR,72042-2906,-91.34121074,34.27330197
University of Wyoming,1174 N 22nd St,www.albanycommunityhealthclinic.com,307-766-3313,bethr@uwyo.edu,,Laramie,WY,82072-5401,-105.5673096,41.32215891
"Health, Florida Department of",416 John Baldwin Rd,,850-892-1260,chrishonna.bledsoe@flhealth.gov,,Defuniak Springs,FL,32433-3520,-86.12657254,30.74824368
C A S S E Dental Health Institute,2120 Bert Kouns Industrial Loop,,318-688-3350,,,Shreveport,LA,71118-3351,-93.79472875,32.40208173
"Central City Community Health Center, Inc.",10050 Garvey Ave STE 111,centralcityhealth.org,626-652-0790,rosemary.reyes@centralcityhealth.org,,El Monte,CA,91733-2089,-118.049491,34.06271252
"NORTHEAST COMMUNITY CLINIC, THE",1414 S Grand Ave STE 300,,213-222-1347,,,Los Angeles,CA,90015-3072,-118.2656921,34.03665946
NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1225 Gerard Ave,,718-960-2777,,,Bronx,NY,10452-8015,-73.92007945,40.83602672
"JUNIPER HEALTH, INC.",1219 W Main St,,606-743-4808,mike.ackley@juniperhealth.org,,West Liberty,KY,41472-2161,-83.27910847,37.90284789
"Mount Vernon Neighborhood Health Center, Inc.",295 Knollwood Rd,http://www.mvnhc.org,914-699-7200,smarcado@mvnhc.org,,White Plains,NY,10607-1822,-73.80440206,41.04367483
"Adelante Healthcare, Inc.",13471 W Cornerstone Blvd,www.adelantehealthcare.com,623-583-3001,,,Goodyear,AZ,85395-2713,-112.347461,33.46222727
Spring Branch Community Health Center,1615 Hillendahl Blvd STE 100,www.sbchc.net,713-462-6565,,,Houston,TX,77055-3402,-95.49326745,29.80027499
"SYRACUSE COMMUNITY HEALTH CENTER, INC.",,,315-434-6431,,,,XX,,,
TEJAS HEALTH CARE,753 E Travis St,www.tejashealthcare.org,979-968-2000,,,La Grange,TX,78945-2353,-96.86966312,29.90918923
"TREASURE COAST COMMUNITY HEALTH, INC.",13503 US Highway 1,www.tcchinc.org,772-257-8224,,,Sebastian,FL,32958-3759,-80.48656252,27.83997702
Lake Superior Community Health Center,4465 E County Road B Rm 123,http://superiorfces.ss13.sharpschool.com/,715-399-8911,sleuck@lschc.org,,Superior,WI,54880-8416,-92.07481897,46.532723
Project Hope,510 Liberty St,,856-968-2320,deshieldsp@lourdesnet.org,,Camden,NJ,08104-1112,-75.11887525,39.93012072
EL CENTRO DEL BARRIO,1 Haven For Hope Way STE 300,www.centromedsa.com,210-922-7000,,,San Antonio,TX,78207-1268,-98.50556411,29.43262326
Community Health Of Central Washington,401 Tieton Dr,,509-494-6700,deborah.gauck@gmail.com,,Yakima,WA,98902-3566,-120.5119676,46.59392292
"Grace Community Health Center, Inc.",1901 Snyder St,,606-620-4353,michael.stanley@gracehealthky.org,,Corbin,KY,40701-2451,-84.09510268,36.93229942
COMMUNITY HEALTH CLINICS INC,2200 W Fairview Ave,,208-344-3512,,,Boise,ID,83702-6808,-116.21725,43.62104598
Primary Health Network,152 Zeman Dr STE 301,https://primary-health.net/,814-846-5060,,,Ebensburg,PA,15931-4130,-78.75896699,40.46586804
"Blue Ridge Community Health Services, Inc.",156 Cross Road Dr,,828-891-0060,,,Mills River,NC,28759-5508,-82.56803907,35.38619441
CABUN RURAL HEALTH SERVICE,150 N School St,cabun.org,870-687-3637,,,Bearden,AR,71720-9594,-92.61894503,33.72365567
EL CENTRO FAMILY HEALTH,502 4th St,www.ecfh.org,575-483-0282,,,Springer,NM,87747-8093,-104.5970938,36.36098602
Cornerstone Family Healthcare,21 Orchard St,www.cornerstonefamilyhealthcare.org,845-343-7614,,,Middletown,NY,10940-5004,-74.41857487,41.44673985
"COMMUNITY MEDICAL CENTERS, INC.",2640 E Lafayette St,www.communitymedicalcenters.org,209-944-4700,cnoguera@communitymedicalcenters.org,,Stockton,CA,95205-5713,-121.2507777,37.95916707
"Shenandoah Valley Medical System, Incorporated",422 W Burke St,www.shencommhealth.com,304-263-4999,,,Martinsburg,WV,25401-2732,-77.96804499,39.45833813
"Variety Care, Inc.",3000 N Grand Blvd,,405-636-1675,ahorn@varietycare.org,,Oklahoma City,OK,73107-1818,-97.58028926,35.4992307
NORTHWEST COMMUNITY HEALTH CARE,308 Callahan Rd,www.welloneri.org,401-295-9706,,,North Kingstown,RI,02852-7739,-71.44105121,41.60010642
Community Health Centers of Greater Dayton,6255 Chambersburg Rd,https://communityhealthdayton.org,937-963-9505,,,Huber Heights,OH,45424-3873,-84.11561869,39.84704479
Central Neighborhood Health Foundation,360 E 7th St STE B,,909-981-2500,,,Upland,CA,91786-6701,-117.646515,34.08880781
SPECTRUM HEALTH SERVICES,1325 S 33rd St STE 300,www.spectrumhs.org,215-471-2761,klgraves@spectrumhs.org,,Philadelphia,PA,19146-3303,-75.19798097,39.93711936
"Aunt Martha's Health And Wellness, Inc.",215 E New York St,www.auntmarthas.org,877-692-8686,,,Aurora,IL,60505-3400,-88.31068789,41.75740822
"Damian Family Care Centers, Inc.",219 E 121st St,www.damianhealth.org,212-987-5133,pgrisafi@damianfcc.org,,New York,NY,10035-3018,-73.93663916,40.8008244
First Choice Community Health Centers,6720 Overhills Rd,www.firstchoicechc.org,910-436-3194,,,Spring Lake,NC,28390-8872,-78.96460274,35.25621372
North Orange County Regional Health Foundation,1182 N Euclid St,,714-441-0411,,,Anaheim,CA,92801-1900,-117.9416126,33.84990899
"JUNIPER HEALTH, INC.",125 Main St,n/a,606-464-2401,mike.ackley@juniperhealth.org,,Beattyville,KY,41311-7484,-83.70849956,37.57223646
COUNTY OF LANE,2411 Martin Luther King Jr Blvd,www.lane.co.or.us,541-682-3797,,,Eugene,OR,97401-5824,-123.0730333,44.05982
SALUD PARA LA GENTE,45 Neilson St,,831-728-8250,,,Watsonville,CA,95076-2468,-121.792896,36.92824251
Talbert House Health Center,2020 Sherman Ave STE 202,www.centerpointhealth.org,513-318-1188,judith.mount@centerpointhealth.org,,Cincinnati,OH,45212-2616,-84.45963756,39.16066741
ARCARE,614 N Grant St,www..arcare.net,870-347-2534,,,Cabot,AR,72023-2656,-92.01155529,34.97616882
SHACKELFORD COUNTY COMMUNITY RESOURCES,200 N Main St,http://www.resourcecare.org/,254-725-7330,,,Cross Plains,TX,76443-3312,-99.16540999,32.12626519
"Centerplace Health, Inc.",1750 17th St,Pending,941-529-0100,james.reid@centerplacehealth.org,,Sarasota,FL,34234-8632,-82.53498587,27.3516575
COMMUNITY HEALTH CENTER OF CENTRAL MISSOURI,10135 State Road C,,573-632-2777,,,Mokane,MO,65059-1213,-91.88976767,38.68734256
"Southwest Community Health Center, Inc.",300 Laurel Ave,,203-576-8437,,,Bridgeport,CT,06605-1103,-73.20450448,41.17545825
LA FAMILIA MEDICAL CENTER,2801 Cerrillos Rd,,505-795-7494,lgonzalez@lfmctr.org,,Santa Fe,NM,87507-2311,-105.987657,35.658079
"Clinicas De Salud Del Pueblo, Inc.",900 Main St,www.innercare.org,760-344-6471,,,Brawley,CA,92227-2630,-115.5285816,32.97858274
"LINCOLN, COUNTY OF",255 SW Coast Hwy,,541-265-0450,,,Newport,OR,97365-4988,-124.0550965,44.63397421
PUBLIC HEALTH MANAGEMENT CORP,125 S 9th St,www.phmc.org,215-592-4500,,,Philadelphia,PA,19107-5125,-75.15565211,39.94889874
Pancare of Florida Inc,278 Church Rd,,850-872-4128,mhill@pancarefl.org,,Bruce,FL,32455-4769,-85.9618482,30.47554189
SIERRA FAMILY MEDICAL CLINIC INC,8676 Marysville Rd,www.sierraclinic.org,530-292-3478,,,Oregon House,CA,95962-9718,-121.2777894,39.35668803
"Community Health Center, Incorporated",1264 Enfield St,,860-253-5540,mark@chc1.com,,Enfield,CT,06082-4947,-72.59830403,41.97910599
TRI-STATE COMMUNITY HEALTHCARE CENTER,8700 AZ-95,,760-326-0222,maria.tristatech@gmail.com,,Mohave Valley,AZ,86440,-114.59783,34.90233274
"Charter Oak Health Center, Inc",27 Chestnut St,www.thecharteroak.org,860-724-1061,,,Hartford,CT,06120-2810,-72.6807289,41.77321267
WellSpace Health,7501 Hospital Dr,,916-392-2290,,,Sacramento,CA,95823-5405,-121.4169132,38.46477897
Christopher Greater Area Rural Health Planning Corporation,1564 S Washington St,www.crhpc.org,618-542-8702,,,Du Quoin,IL,62832-3849,-89.23302497,37.977268
"Community Health Care, Inc.",925 S 4th St,www.chcqca.org,563-336-3000,,,Clinton,IA,52732-5726,-90.19313909,41.83623176
Maricopa County Special Health Care District,5650 S 35th Ave,www.valleywisehealth.org,602-655-6400,barbara.harding@valleywisehealth.org,,Phoenix,AZ,85041-3531,-112.1336275,33.39518102
"Concilio De Salud Integral De Loiza, Inc.",16 Calle Pimentel,,787-888-0480,,,Rio Grande,PR,00745-3056,-65.83770014,18.37871195
TRENTON MEDICAL CENTER,4784 W US Highway 90,www.palmsmg.org,352-463-2374,caleb@powellandjonescpa.com,,Lake City,FL,32055-3101,-82.70990991,30.18458076
"HealthPoint Family Care, Inc.",459 Buckner St,,859-655-6100,,,Elsmere,KY,41018-2303,-84.60104144,39.00590173
Yehowa Medical Services,1037 E Pacific Coast Hwy,,323-776-1500,,,Wilmington,CA,90744-2726,-118.2496219,33.79087822
Family Healthcare Network,1062 S K St,,559-737-4700,,,Tulare,CA,93274-6422,-119.3433029,36.1954747
ADVOCATES FOR A HEALTHY COMMUNITY INC,415 S Golden Ave,https://www.sps.org/westport,417-523-3100,,,Springfield,MO,65802-4709,-93.3393542,37.20736865
"LITTLE RIVERS HEALTH CARE, INC.",214 Pulaski St,www.nesvt.org,802-866-5621 x110,rgibson@littlerivers.org,,Newbury,VT,5051,-72.06040202,44.07906699
KING COUNTY,3201 NE 7th St,https://www.kingcounty.gov/depts/health/locations/renton.aspx,206-477-0100,,,Renton,WA,98056-3729,-122.1762251,47.4951154
