Health Center Name,Address,Website,Phone Number,Email,,City,State,Zip,Latitude,Longitude
Los Angeles Christian Health Centers,"311 Winston St, 311 Winston St, Los Angeles, CA 90013-1519",www.lachc.com,,,,Los Angeles,CA,90013-1519,34.045499,-118.244728
"Faith Healthcare, Inc","126 Franklin Rd, 126 Franklin Rd, Monticello, KY 42633-2245",,606-685-6131,mikevaught@careclinic20.com,,Monticello,KY,42633-2245,36.8674,-84.8254
WAYNE MEMORIAL COMMUNITY HEALTH CENTERS,"601 Park St, 601 Park St, Honesdale, PA 18431-1445",,,,,Honesdale,PA,18431-1445,41.576582,-75.260292
"JWCH Institute, Inc.","5650 Jillson St, 5650 Jillson St, Commerce, CA 90040-1482",,,,,Commerce,CA,90040-1482,33.999876,-118.156398
COMPASSION HEALTH TOLEDO,"3828 BROOKSIDE RD, 3828 BROOKSIDE RD, TOLEDO, OH 43606-2307",www.compassionhealthtoledo.org,419-304-6480,anneruch@gmail.com,,TOLEDO,OH,43606-2307,41.668062,-83.635213
"SERVE THE PEOPLE, INC.","1206 E 17th St Ste 101, 1206 E 17th St Ste 101, Santa Ana, CA 92701-2641",www.servethepeoplechc.org,714-352-2911,bbecerra@servethepeoplechc.org,,Santa Ana,CA,92701-2641,33.75921,-117.853941
"Northeast Florida Health Services, Inc.","1205 S Woodland Blvd Ste 5, 1205 S Woodland Blvd Ste 5, Deland, FL 32720-7464",www.myfhs.org,386-624-1054,plane@familyhealthsource.org,,Deland,FL,32720-7464,29.007797,-81.301935
"COMMUNITY HEALTH PROGRAMS, INCORPORATED","444 Stockbridge Rd, 444 Stockbridge Rd, Great Barrington, MA 01230-1295",https://www.chpberkshires.org/,,,,Great Barrington,MA,01230-1295,42.219442,-73.342361
BORREGO COMMUNITY HEALTH FOUNDATION,"4343 Yaqui Pass Rd, 4343 Yaqui Pass Rd, Borrego Springs, CA 92004",,,,,Borrego Springs,CA,92004,33.193986,-116.329059
OPEN DOOR COMMUNITY HEALTH CENTERS,"670 9th St Ste 203, 670 9th St Ste 203, Arcata, CA 95521-6249",,,,,Arcata,CA,95521-6249,40.868874,-124.085247
Lee Memorial Health System,"2776 Cleveland Ave, 2776 Cleveland Ave, Fort Myers, FL 33901-5864",WeCareForLee.org,239-834-9998,robert.johns@leememorial.org,,Fort Myers,FL,33901-5864,26.628494,-81.874224
"Axesspointe Community Health Center, Inc.","1400 S Arlington St Unit 38, 1400 S Arlington St Unit 38, Akron, OH 44306-3771",www.axesspointe.org,330-785-2053,hpeterson@axesspointe.org,,Akron,OH,44306-3771,41.033106,-81.493556
"WINDROSE HEALTH NETWORK, INC.","14 Trafalgar Sq, 14 Trafalgar Sq, Trafalgar, IN 46181-9515","www,windrosehealth.net",,,,Trafalgar,IN,46181-9515,39.41104,-86.159971
DENA' NENA' HENASH,"122 1st Ave Ste 600, 122 1st Ave Ste 600, Fairbanks, AK 99701-4871",www.tananachiefs.org,907-452-8251 x3142,jacoline.bergstrom@tananachiefs.org,,Fairbanks,AK,99701-4871,64.8445,-147.708968
"Shalom Health Care Center, Inc.","3400 Lafayette Rd Ste 200, 3400 Lafayette Rd Ste 200, Indianapolis, IN 46222-1147",www.shalomhealthcenter.org,,,,Indianapolis,IN,46222-1147,39.81755,-86.229619
"MIDTOWN HEALTH CENTER, INC.","302 W Phillip Ave, 302 W Phillip Ave, Norfolk, NE 68701-5248",midtownhealthne.org,402-371-8000,ckkube@midtownhealthne.org,,Norfolk,NE,68701-5248,42.030643,-97.410898
"SAN BERNARDINO, COUNTY OF","351 N Mountain View Ave, 351 N Mountain View Ave, San Bernardino, CA 92415-0003",http://www.sbcounty.gov/DPH/PublicHealth/ph_divisions/public_health_clinics/public_health_clinics.asp,,,,San Bernardino,CA,92415-0003,34.105404,-117.2874
"MACOUPIN, COUNTY OF","805 N Broad St, 805 N Broad St, Carlinville, IL 62626-1075",,,,,Carlinville,IL,62626-1075,39.288176,-89.881477
"CABUN RURAL HEALTH SERVICES, INC.","402 S Lee St, 402 S Lee St, Hampton, AR 71744-8615",www.cabun.org,,,,Hampton,AR,71744-8615,33.534086,-92.469293
"Clover Fork Outpatient Medical Project, Inc.","101 Chad St, 101 Chad St, Evarts, KY 40828-8200",http://www.cloverforkclinic.org/,606-837-2108 x114,jminiard@cloverforkclinic.org,,Evarts,KY,40828-8200,36.864381,-83.192824
"KUUMBA COMMUNITY HEALTH & WELLNESS CENTER, INC.","3716 Melrose Ave NW, 3716 Melrose Ave NW, Roanoke, VA 24017-2716",,,,,Roanoke,VA,24017-2716,37.293685,-79.997952
KEYSTONE RURAL HEALTH CONSORTIA INC,"90 E 2nd St, 90 E 2nd St, Emporium, PA 15834-1302",,,,,Emporium,PA,15834-1302,41.510416,-78.235659
Yellowstone City-County Health Department,"123 S 27th St, 123 S 27th St, Billings, MT 59101-4227",www.riverstonehealth.org,,,,Billings,MT,59101-4227,45.77972,-108.500581
"Mary's Center For Maternal And Child Care, Inc.","2333 Ontario Rd NW, 2333 Ontario Rd NW, Washington, DC 20009-2627",,,,,Washington,DC,20009-2627,38.92098,-77.039808
North Penn Comprehensive Health Services,"40 W Wellsboro St, 40 W Wellsboro St, Mansfield, PA 16933-1411",,,,,Mansfield,PA,16933-1411,41.807233,-77.079338
Covenant House Inc,"251 E Bringhurst St, 251 E Bringhurst St, Philadelphia, PA 19144-1719",n/a,,,,Philadelphia,PA,19144-1719,40.034183,-75.165338
"Primecare Community Health, Inc.","2211 N Elston Ave Ste 301, 2211 N Elston Ave Ste 301, Chicago, IL 60614-9278",,,,,Chicago,IL,60614-9278,41.921754,-87.672178
"Nuestra Clinica Del Valle, Inc.","801 W 1st St, 801 W 1st St, San Juan, TX 78589-2276",www.nuestraclinicadelvalle.org,,,,San Juan,TX,78589-2276,26.207462,-98.335447
Peninsula Community Health Services,"400 Warren Ave Ste 200, 400 Warren Ave Ste 200, Bremerton, WA 98337-1467",www.pchsweb.org,360-478-2366,kjennings@pchsweb.org,,Bremerton,WA,98337-1467,47.56605,-122.632573
"JESSIE TRICE COMMUNITY HEALTH SYSTEM, INC.","5607 NW 27th Ave Ste 1, 5607 NW 27th Ave Ste 1, Miami, FL 33142-2826",www.jtchs.org,305-805-1700,jjlawrence@jtchc.org,,Miami,FL,33142-2826,25.826085,-80.240461
Howard Brown Health Center,"4025 N Sheridan Rd, 4025 N Sheridan Rd, Chicago, IL 60613-2010",,773-388-8686,carlah@howardbrown.org,,Chicago,IL,60613-2010,41.955289,-87.654415
Mountain Park Health Center,"3003 N Central Ave Ste 1600, 3003 N Central Ave Ste 1600, Phoenix, AZ 85012-2908",www.mountainparkhealth.org,,,,Phoenix,AZ,85012-2908,33.482649,-112.072608
Corporacion de Servicios de Salud y Medicina Avanzada,"13.5 Carr 172, 13.5 Carr 172, Bayam�n, PR 00739",,,,,Bayam�n,PR,739,18.181469,-66.169519
"Newark Community Health Centers, Inc.","741 Broadway, 741 Broadway, Newark, NJ 07104-4309",www.nchcfqhc.org,973-483-1300 x1250,wtalley@nchcfqhc.org,,Newark,NJ,07104-4309,40.775301,-74.158748
DOWNRIVER COMMUNITY SERVICES INC,"555 Saint Clair River Dr, 555 Saint Clair River Dr, Algonac, MI 48001-1802",www.communityfirsthc.org,586-270-8055 x115,mpriebe@communityfirsthc.org,,Algonac,MI,48001-1802,42.614889,-82.534944
Philadelphia Fight,"1233 Locust St Fl 3, 1233 Locust St Fl 3, Philadelphia, PA 19107-5400",,,,,Philadelphia,PA,19107-5400,39.947996,-75.161617
Buddhist Tzu Chi Medical Foundation,"1000 S Garfield Ave, 1000 S Garfield Ave, Alhambra, CA 91801-4709",,626-427-9598 x3001,operations@tzuchimedical.us,,Alhambra,CA,91801-4709,34.084516,-118.122637
Utah Partners for Health,"8446 S Harrison St, 8446 S Harrison St, Midvale, UT 84047-3501",,,,,Midvale,UT,84047-3501,40.598019,-111.900926
Family Healthcare Network,"305 E Center Ave, 305 E Center Ave, Visalia, CA 93291-6331",www.fhcn.org,,,,Visalia,CA,93291-6331,36.330919,-119.29005
Valley Professionals Community Health Center Inc.,"777 S Main St Ste 100, 777 S Main St Ste 100, Clinton, IN 47842-2493",www.valleyprohealth.org,,,,Clinton,IN,47842-2493,39.653585,-87.399138
"Bear Lake Community Health Center, Inc.","325 W Logan Rd, 325 W Logan Rd, Garden City, UT 84028-7754",,,,,Garden City,UT,84028-7754,41.946881,-111.400831
"NEIGHBORHOOD HEALTH ASSOCIATION OF TOLEDO, INC.","313 Jefferson Ave, 313 Jefferson Ave, Toledo, OH 43604-1004",www.nhainc.org,,,,Toledo,OH,43604-1004,41.649702,-83.535515
East Hill Family Medical Inc,"144 Genesee St Ste 500, 144 Genesee St Ste 500, Auburn, NY 13021-3510",,,,,Auburn,NY,13021-3510,42.930189,-76.568513
DENVER HEALTH AND HOSPITALS AUTHORITY,"777 Bannock St, 777 Bannock St, Denver, CO 80204-4507",denverhealth.org,303-602-6429,patricia.braun@dhha.org,,Denver,CO,80204-4507,39.728285,-104.990525
"North End Community Health Committee, Incorporated","332 Hanover St, 332 Hanover St, Boston, MA 02113-1901",www.northendwaterfront.org,,,,Boston,MA,02113-1901,42.364715,-71.053712
"South Texas Rural Health Services, Inc","105 S Stewart, 105 S Stewart, Cotulla, TX 78014-3003",tachc.org,,,,Cotulla,TX,78014-3003,28.433902,-99.236207
"Rutherford County Primary Care Clinic, Inc.","1453 Hope Way, 1453 Hope Way, Murfreesboro, TN 37129-3140",,,,,Murfreesboro,TN,37129-3140,35.871419,-86.423957
Southeast Missouri Health Network,"6738 State Highway 77, 6738 State Highway 77, Benton, MO 63736-8238",,,,,Benton,MO,63736-8238,37.094892,-89.550449
"Plan De Salud Del Valle, Inc.","203 S Rollie Ave, 203 S Rollie Ave, Fort Lupton, CO 80621-1508",,,,,Fort Lupton,CO,80621-1508,40.077792,-104.805827
EAST CENTRAL OKLAHOMA FAMILY HEALTH CENTER INC,"109 S Main St, 109 S Main St, Wetumka, OK 74883-4015",ecofhc.org,,,,Wetumka,OK,74883-4015,35.237237,-96.241505
"St. Francis House NWA, Inc.","614 E Emma Ave Ste 300, 614 E Emma Ave Ste 300, Springdale, AR 72764-4469",,,,,Springdale,AR,72764-4469,36.185396,-94.122907
"COMMUNITY HEALTH CENTER, INCORPORATED","635 MN ST, 635 MN ST, Middletown, CT 06457",,860-347-6602,mark@chc1.com,,Middletown,CT,6457,41.564516,-72.652628
"COMMUNITY HEALTH CENTER, INCORPORATED","635 MN ST, 635 MN ST, Middletown, CT 06457",,860-347-6602,mark@chc1.com,,Middletown,CT,6457,41.564516,-72.652628
"OUTREACH COMMUNITY HEALTH CENTERS, INC.","711 W Capitol Dr, 711 W Capitol Dr, Milwaukee, WI 53206-3336",https://healthcare.ascension.org/Locations/Wisconsin/WIMIL/Milwaukee-Ascension-St-Bens-Clinic,,,,Milwaukee,WI,53206-3336,43.088943,-87.920315
"JWCH Institute, Inc.","5650 Jillson St, 5650 Jillson St, Commerce, CA 90040-1482",,,,,Commerce,CA,90040-1482,33.999876,-118.156398
Primary Health Services Center,"2914 Betin Ave, 2914 Betin Ave, Monroe, LA 71201-7258",N/A,,,,Monroe,LA,71201-7258,32.519983,-92.088297
Eau Claire Cooperative Health Center,"1228 Harden St Fl 2, 1228 Harden St Fl 2, Columbia, SC 29204-1800",,,,,Columbia,SC,29204-1800,34.006927,-81.019317
"FAMILY HEALTH CENTERS OF SAN DIEGO, INC.","823 Gateway Center Way, 823 Gateway Center Way, San Diego, CA 92102-4541",,,,,San Diego,CA,92102-4541,32.71542,-117.113422
"White Memorial Community Health Center, A California Nonprofit Public Benefit Corporation","1828 E Cesar E Chavez Ave Suite 6100, 1828 E Cesar E Chavez Ave Suite 6100, Los Angeles, CA 90033-2597",wmchealthcenter.org,323-987-1200,floutsg@ah.org,,Los Angeles,CA,90033-2597,34.05014,-118.21571
Mobile County Board of Health,"251 N Bayou St, 251 N Bayou St, Mobile, AL 36603-5827",familyhealthalabama.org,,,,Mobile,AL,36603-5827,30.69184,-88.054644
"Centerplace Health, Inc.","2200 Ringling Blvd, 2200 Ringling Blvd, Sarasota, FL 34237-6102",www.centerplacehealth.org,941-529-0249,james.reid@centerplacehealth.org,,Sarasota,FL,34237-6102,27.334965,-82.525926
Open Door Health Center,"309 Holly Ln Ste 101, 309 Holly Ln Ste 101, Mankato, MN 56001-5422",www.odhc.org,,,,Mankato,MN,56001-5422,44.162866,-93.969267
"WomenCare, Inc.","97 Great Teays Blvd Ste 6, 97 Great Teays Blvd Ste 6, Scott Depot, WV 25560-9816",www.familycarewv.org,,,,Scott Depot,WV,25560-9816,38.45259,-81.936212
"Oconee Valley Healthcare, Inc","803 S Main St, 803 S Main St, Greensboro, GA 30642-1211",,,,,Greensboro,GA,30642-1211,33.566791,-83.184323
"Peninsula Institute For Community Health, Inc","4714 Marshall Ave, 4714 Marshall Ave, Newport News, VA 23607-2247",pich.org,757-244-8560 x1117,nhilton@pich.org,,Newport News,VA,23607-2247,36.998083,-76.424091
"Health Care Center For The Homeless, Inc.","232 N Orange Blossom Trl, 232 N Orange Blossom Trl, Orlando, FL 32805-1612",,,,,Orlando,FL,32805-1612,28.54539,-81.397707
"LONE STAR COMMUNITY HEALTH CENTER, INC","605 S Conroe Medical Dr, 605 S Conroe Medical Dr, Conroe, TX 77304-4722",,,,,Conroe,TX,77304-4722,30.285139,-95.471242
Family Healthcare Network,"305 E Center Ave, 305 E Center Ave, Visalia, CA 93291-6331",,,,,Visalia,CA,93291-6331,36.330919,-119.29005
"Institute For Family Health, The","2006 Madison Ave, 2006 Madison Ave, New York, NY 10035-1217",www.institute2000.org,212-633-0800,inewman@institute.org,,New York,NY,10035-1217,40.807603,-73.939678
"CUMBERLAND FAMILY MEDICAL CENTER, INC.","360 Keen St Ste 500, 360 Keen St Ste 500, Burkesville, KY 42717-7944",,270-858-6655,tantle@cfmcky.com,,Burkesville,KY,42717-7944,36.769106,-85.408741
Greater Family Health,"370 Summit St Ste 1A, 370 Summit St Ste 1A, Elgin, IL 60120-3843",www.greaterfamilyhealth.org,,,,Elgin,IL,60120-3843,42.046734,-88.277474
Bristol Bay Area Health Corporation,"6000 Kanakanak Rd, 6000 Kanakanak Rd, Dillingham, AK 99576",,,,,Dillingham,AK,99576,59.000902,-158.535841
GARFIELD HEALTH CENTER,"210 N GARFIELD AVE STE 203, 210 N GARFIELD AVE STE 203, MONTEREY PARK, CA 91754-1746",,626-300-9939,garfieldhealthcenter@gmail.com,,MONTEREY PARK,CA,91754-1746,34.064111,-118.122443
HORIZON HEALTH CARE INC,"208 S Main St, 208 S Main St, Howard, SD 57349-8813",www.horizonhealthcare.org,605-772-4525,knewbold@horizonhealthcare.org,,Howard,SD,57349-8813,44.009534,-97.526557
FAMILY HEALTH SERVICES OF ERIE COUNTY,"1912 Hayes Ave, 1912 Hayes Ave, Sandusky, OH 44870-4736",www.familyhs.org,,,,Sandusky,OH,44870-4736,41.437423,-82.712728
Finger Lakes Migrant Health Care,"165 Main St, 165 Main St, Penn Yan, NY 14527-1205",,,,,Penn Yan,NY,14527-1205,42.663053,-77.054717
Golden Valley Health Centers,"737 W Childs Ave, 737 W Childs Ave, Merced, CA 95341-6805",www.gvhc.org,,,,Merced,CA,95341-6805,37.289074,-120.496277
Health Care Coalition of Lafayette County,"825 S Business Highway 13, 825 S Business Highway 13, Lexington, MO 64067-1515",,816-728-2704,deana.loyd@hccnetwork.org,,Lexington,MO,64067-1515,39.14086,-93.849284
"Collier Health Services, Inc.","1454 Madison Ave W, 1454 Madison Ave W, Immokalee, FL 34142-2200",www.collier.org,,,,Immokalee,FL,34142-2200,26.442725,-81.431944
"Adelante Healthcare, Inc.","3033 N Central Ave Ste 145, 3033 N Central Ave Ste 145, Phoenix, AZ 85012-2808",www.adelantehealthcare.com,,,,Phoenix,AZ,85012-2808,33.483384,-112.072556
"High Plains Community Health Center, Incorporated","201 Kendall Dr, 201 Kendall Dr, Lamar, CO 81052-3939",www.highplainschc.net,,,,Lamar,CO,81052-3939,38.068125,-102.611728
"Community Health South Florida, Inc.","10300 SW 216th St, 10300 SW 216th St, Cutler Bay, FL 33190-1003",www.chisouthfl.org,,,,Cutler Bay,FL,33190-1003,25.564625,-80.357648
"Union Community Health Center, Inc.","260 E 188th St, 260 E 188th St, Bronx, NY 10458-5302",www.uchcbronx.org,,,,Bronx,NY,10458-5302,40.860742,-73.895944
SALUD INTEGRAL EN LA MONTANA INC,"12.4 Carr 152, 12.4 Carr 152, Cedro Arriba, PR 00719",www.simpr.com,,,,Cedro Arriba,PR,719,18.298017,-66.229751
BORREGO COMMUNITY HEALTH FOUNDATION,"4343 Yaqui Pass Rd, 4343 Yaqui Pass Rd, Borrego Springs, CA 92004",www.borregomedical.org,,,,Borrego Springs,CA,92004,33.193986,-116.329059
DENVER HEALTH AND HOSPITALS AUTHORITY,"777 Bannock St, 777 Bannock St, Denver, CO 80204-4507",www.denverhealth.org,303-602-6429,patricia.braun@dhha.org,,Denver,CO,80204-4507,39.728285,-104.990525
YAKIMA VALLEY FARM WORKERS CLINIC,"604 W 1st Ave, 604 W 1st Ave, Toppenish, WA 98948-1500",,,,,Toppenish,WA,98948-1500,46.374622,-120.318967
COUNTY OF VENTURA,"800 S Victoria Ave, 800 S Victoria Ave, Ventura, CA 93009-0001",N/A,,,,Ventura,CA,93009-0001,34.268633,-119.209948
"ISLANDS COMMUNITY MEDICAL SERVICES, INC.","15 Medical Center Loop, 15 Medical Center Loop, Vinalhaven, ME 04863-4119",none,207-863-4341,rtolman@icmsvh.org,,Vinalhaven,ME,04863-4119,44.046483,-68.83068
"Mosaic Health, Inc.","1 S Washington St Ste 300, 1 S Washington St Ste 300, Rochester, NY 14614-1134",,,,,Rochester,NY,14614-1134,43.154521,-77.617091
"COMMUNITY MEDICAL CENTERS, INC.","7210 Murray Dr, 7210 Murray Dr, Stockton, CA 95210-3339",www.communitymedicalcenters.org,209-373-2826,cnoguera@communitymedicalcenters.org,,Stockton,CA,95210-3339,38.015926,-121.300622
"UNITED METHODIST WESTERN KANSAS MEXICAN-AMERICAN MINISTRIES, INC.","712 Saint John St, 712 Saint John St, Garden City, KS 67846-5128",www.genesisfamilyhealth.org,,,,Garden City,KS,67846-5128,37.968871,-100.882543
"Petaluma Health Center, Inc.","1179 N Mcdowell Blvd, 1179 N Mcdowell Blvd, Petaluma, CA 94954-6559",www.phealthcenter.org,,,,Petaluma,CA,94954-6559,38.268525,-122.660451
Brooklyn Plaza Medical Center,"650 Fulton St, 650 Fulton St, Brooklyn, NY 11217-1517",Not applicable,718-596-9800 x214,abrutus@brooklynplaza.org,,Brooklyn,NY,11217-1517,40.68684,-73.976105
"Mission City Community Network, Inc.","15206 Parthenia St # 15210, 15206 Parthenia St # 15210, North Hills, CA 91343-5305",www.mccn.org,818-895-3100 x610,magdalenaa@mccn.org,,North Hills,CA,91343-5305,34.228101,-118.463813
"PIEDMONT HEALTH SERVICES, INC.","88 Vilcom Center Dr Ste 110, 88 Vilcom Center Dr Ste 110, Chapel Hill, NC 27514-1660",,,,,Chapel Hill,NC,27514-1660,35.96527,-79.052243
Presbyterian Medical Services,"1422 Paseo De Peralta, 1422 Paseo De Peralta, Santa Fe, NM 87501-4391",,505-820-3475,lisa.stephens@pmsnm.org,,Santa Fe,NM,87501-4391,35.681484,-105.944681
Lifelong Medical Care,"2344 6th St, 2344 6th St, Berkeley, CA 94710-2412",,,,,Berkeley,CA,94710-2412,37.862037,-122.295981
"Williamson Health & Wellness Center, Inc","184 E 2nd Ave Ste 210, 184 E 2nd Ave Ste 210, Williamson, WV 25661-3602",www.williamsonhealthwellness.com,,,,Williamson,WV,25661-3602,37.671657,-82.277258
HUDSON HEADWATERS HEALTH NETWORK,"9 Carey Rd, 9 Carey Rd, Queensbury, NY 12804-7880",www.hhhn.org,,,,Queensbury,NY,12804-7880,43.295766,-73.69022
"RIVER HILLS COMMUNITY HEALTH CENTER, INC.","201 S Market St, 201 S Market St, Ottumwa, IA 52501-2924",,,,,Ottumwa,IA,52501-2924,41.016912,-92.412151
"Gulf Coast Health Center, Inc.","2548 Memorial Blvd, 2548 Memorial Blvd, Port Arthur, TX 77640-2825",www.gulfcoasthc.org,409-983-1161 x806,mthigpen@gulfcoasthc.org,,Port Arthur,TX,77640-2825,29.904667,-93.93589
"Community Clinical Services, Inc.","B St Community Ctr 57 Birch St Ste 201, B St Community Ctr 57 Birch St Ste 201, Lewiston, ME 04240",http://www.stmarysmaine.com/Our-Providers/st-marys-medical-associates.html,207-513-3897,celias@stmarysmaine.com,,Lewiston,ME,4240,44.092864,-70.211443
St. Jude Neighborhood Health Centers,"731 S Highland Ave, 731 S Highland Ave, Fullerton, CA 92832-2753",,714-992-3052,lynda.bronzellino@stjoe.org,,Fullerton,CA,92832-2753,33.863597,-117.929534
"Project Health, Inc.","1425 S US 301, 1425 S US 301, Sumterville, FL 33585-5141",www.langleyhealthservices.com,,,,Sumterville,FL,33585-5141,28.735281,-82.068604
Los Angeles Christian Health Centers,"311 Winston St, 311 Winston St, Los Angeles, CA 90013-1519",,,,,Los Angeles,CA,90013-1519,34.045499,-118.244728
"NORWALK COMMUNITY HEALTH CENTER, INC.","120 Connecticut Ave, 120 Connecticut Ave, Norwalk, CT 06854-1525",,,,,Norwalk,CT,06854-1525,41.10606,-73.428078
Care For The Homeless,"30 E 33rd St Fl 5, 30 E 33rd St Fl 5, New York, NY 10016-5337",allangelschurch.org,,,,New York,NY,10016-5337,40.746756,-73.982889
"Western North Carolina Community Health Services, Inc., The","257 Biltmore Ave, 257 Biltmore Ave, Asheville, NC 28801-4120",www.wncchs.org,,,,Asheville,NC,28801-4120,35.58574,-82.551924
"Citrus Health Network, Inc.","4175 W 20th Ave, 4175 W 20th Ave, Hialeah, FL 33012-5874",,,,,Hialeah,FL,33012-5874,25.859735,-80.321642
"MONONGAHELA VALLEY ASSOCIATION OF HEALTH CENTERS, INC","1322 Locust Ave, 1322 Locust Ave, Fairmont, WV 26554-1436",www.mvahealth.org,304-367-8770,kevin.crockett@mvahealth.org,,Fairmont,WV,26554-1436,39.480461,-80.164216
Neighborcare Health,"1200 12th Ave S Ste 901, 1200 12th Ave S Ste 901, Seattle, WA 98144-2712",https://neighborcare.org/clinics/,,,,Seattle,WA,98144-2712,47.592803,-122.315985
Family Medical Center of Michigan Inc,"8765 Lewis Ave, 8765 Lewis Ave, Temperance, MI 48182-9583",,,,,Temperance,MI,48182-9583,41.775059,-83.568835
"OUTREACH COMMUNITY HEALTH CENTERS, INC.","711 W Capitol Dr, 711 W Capitol Dr, Milwaukee, WI 53206-3336",http://www.ochc-milw.org/,,,,Milwaukee,WI,53206-3336,43.088943,-87.920315
"MIDTOWN HEALTH CENTER, INC.","302 W Phillip Ave, 302 W Phillip Ave, Norfolk, NE 68701-5248",midtownhealthne.org,402-371-8000,ckkube@midtownhealthne.org,,Norfolk,NE,68701-5248,42.030643,-97.410898
"CHRIST COMMUNITY HEALTH SERVICES AUGUSTA, INC.","1226 Dantignac St, 1226 Dantignac St, Augusta, GA 30901-2788",www.christcommunityaugusta.org,706-396-1469,dbranum@cchsaugusta.org,,Augusta,GA,30901-2788,33.469331,-81.978001
Circle the City,"300 W Clarendon Ave Ste 200, 300 W Clarendon Ave Ste 200, Phoenix, AZ 85013-3422",www.circlethecity.org,480-562-6730,astewart@circlethecity.org,,Phoenix,AZ,85013-3422,33.491725,-112.078577
Sebasticook Family Doctors,"118 Moosehead Trl Ste 5, 118 Moosehead Trl Ste 5, Newport, ME 04953-4056",www.hhcme.org,,,,Newport,ME,04953-4056,44.841834,-69.281722
Sea-Mar Community Health Center,"1040 S Henderson St, 1040 S Henderson St, Seattle, WA 98108-4720",www.seamar.org,206-763-5277,dustingreer@seamarchc.org,,Seattle,WA,98108-4720,47.523968,-122.318663
"NORTHSHORE HEALTH CENTERS, INC","6450 US Highway 6, 6450 US Highway 6, Portage, IN 46368-5110",,219-742-0258,dhall@northshorehealth.org,,Portage,IN,46368-5110,41.550683,-87.166163
Lone Star Circle Of Care,"205 E University Ave Ste 200, 205 E University Ave Ste 200, Georgetown, TX 78626-6821",www.lonestarcares.org,,,,Georgetown,TX,78626-6821,30.633712,-97.675516
START CORPORATION,"420 Magnolia St, 420 Magnolia St, Houma, LA 70360-6304",,,,,Houma,LA,70360-6304,29.586045,-90.723676
"Legacy Community Health Services, Inc.","1415 California St, 1415 California St, Houston, TX 77006-2602",,832-548-5170,calexander@legacycommunityhealth.org,,Houston,TX,77006-2602,29.744983,-95.394107
"REGIONAL HEALTH REACH, INC.","1555 Long Pond Rd, 1555 Long Pond Rd, Rochester, NY 14626-4122",,,,,Rochester,NY,14626-4122,43.19203,-77.705509
Access Community Health Network,"600 W Fulton St Ste 200, 600 W Fulton St Ste 200, Chicago, IL 60661-1262",www.accesscommunityhealth.net,,,,Chicago,IL,60661-1262,41.887159,-87.643246
"CUMBERLAND FAMILY MEDICAL CENTER, INC.","360 Keen St Ste 500, 360 Keen St Ste 500, Burkesville, KY 42717-7944",,270-858-6655,tantle@cfmcky.com,,Burkesville,KY,42717-7944,36.769106,-85.408741
Seldovia Village Tribe,"206 Main St, 206 Main St, Seldovia, AK 99663",www.svthw.org,,,,Seldovia,AK,99663,59.436948,-151.711884
"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC","3331 Easy St, 3331 Easy St, Dunn, NC 28334-7988",www.commwellhealth.org,910-567-7006,ptripp@commwellhealth.org,,Dunn,NC,28334-7988,35.242993,-78.45034
BORREGO COMMUNITY HEALTH FOUNDATION,"4343 Yaqui Pass Rd, 4343 Yaqui Pass Rd, Borrego Springs, CA 92004",www.borregomedical.org,,,,Borrego Springs,CA,92004,33.193986,-116.329059
"OPTIMUS HEALTH CARE, INC.","982 E Main St, 982 E Main St, Bridgeport, CT 06608-1913",www.optimushealthcare.org,203-520-9865,amcgoldrick@opthc.org,,Bridgeport,CT,06608-1913,41.188055,-73.180568
Welsh Mountain Health Centers,"584 Springville Rd, 584 Springville Rd, New Holland, PA 17557-9564",,,,,New Holland,PA,17557-9564,40.071,-76.017968
Maniilaq Association,"2nd Ave, 2nd Ave, Kotzebue, AK 99752",,907-442-7150,phansen@maniilaq.org,,Kotzebue,AK,99752,66.865256,-161.780844
"Change, Incorporated","3158 West St, 3158 West St, Weirton, WV 26062-4637",,,,,Weirton,WV,26062-4637,40.405622,-80.58947
"COMMUNITY HEALTH CENTER, INCORPORATED","635 MN ST, 635 MN ST, Middletown, CT 06457",,860-347-6602,mark@chc1.com,,Middletown,CT,6457,41.564516,-72.652628
"Regional Health Care Clinic, Inc.","821 Westwood Dr, 821 Westwood Dr, Sedalia, MO 65301-2102",,,,,Sedalia,MO,65301-2102,38.708994,-93.272587
"COMMUNITY HEALTH CENTER, INCORPORATED","635 MN ST, 635 MN ST, Middletown, CT 06457",,860-347-6602,mark@chc1.com,,Middletown,CT,6457,41.564516,-72.652628
"Shenandoah Valley Medical System, Incorporated","99 Tavern Rd, 99 Tavern Rd, Martinsburg, WV 25401-2890",http://www.shencommhealth.com/,,,,Martinsburg,WV,25401-2890,39.473967,-77.96641
PCC COMMUNITY WELLNESS CENTER,"14 Lake St, 14 Lake St, Oak Park, IL 60302-2606",www.pccwellness.org,,,,Oak Park,IL,60302-2606,41.888206,-87.775579
Family Health Services Corporation,"794 Eastland Dr, 794 Eastland Dr, Twin Falls, ID 83301-6856",,208-734-3312 x6708,ahouston@fhsid.org,,Twin Falls,ID,83301-6856,42.558086,-114.440417
